cont	vhel	flux	wav
3035.845703125	-336.30075935663376	2979.355272469922	7764.65
3035.845703125	-303.5191486395176	2989.9578910120313	7765.5
3035.845703125	-270.73753792243656	2987.1454352441615	7766.349999999999
3035.845703125	-237.95592720535552	2968.198159943383	7767.199999999999
3035.845703125	-205.17431648823938	2973.4561217268224	7768.049999999999
3035.845703125	-172.39270577112325	2992.325548478415	7768.9
3035.845703125	-139.61109505404218	3060.401981599434	7769.749999999999
3035.845703125	-106.82948433692606	3228.9593064401984	7770.599999999999
3035.845703125	-74.04787361980992	3420.8202406227883	7771.45
3035.845703125	-41.266262902728855	3516.0902335456476	7772.299999999999
3035.845703125	-8.484652185647796	3505.2062986553433	7773.149999999999
3035.845703125	24.296958531468338	3471.6394196744513	7773.999999999999
3035.845703125	57.07856924858447	3371.075371549894	7774.849999999999
3035.845703125	89.86017996570061	3223.2926397735314	7775.7
3035.845703125	122.64179068278168	3083.933121019108	7776.549999999999
3035.845703125	155.42340139986274	3005.324133050248	7777.399999999999
3035.845703125	188.20501211697888	3008.036447275301	7778.249999999999
3035.845703125	220.986622834095	3084.036447275301	7779.099999999999
3035.845703125	253.76823355117605	3101.03432413305	7779.949999999999
3035.845703125	286.54984426829225	3042.6305732484075	7780.799999999999
3035.845703125	319.33145498540836	2991.8853503184714	7781.65
